
2024/04/07 (16:22:49) | ===> btop++ v.1.3.2
2024/04/07 (16:22:49) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/15 (14:07:57) | ===> btop++ v.1.3.2
2024/04/15 (14:07:57) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/20 (00:30:59) | ===> btop++ v.1.3.2
2024/04/20 (00:30:59) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/04/20 (00:44:43) | ===> btop++ v.1.3.2
2024/04/20 (00:44:43) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/05/20 (02:47:07) | ===> btop++ v.1.3.2
2024/05/20 (02:47:07) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/29 (11:01:26) | ===> btop++ v.1.3.2
2024/05/29 (11:01:26) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/30 (03:49:41) | ===> btop++ v.1.3.2
2024/05/30 (03:49:41) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/30 (22:15:52) | ===> btop++ v.1.3.2
2024/05/30 (22:15:52) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/31 (00:07:36) | ===> btop++ v.1.3.2
2024/05/31 (00:07:36) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/01 (21:34:39) | ===> btop++ v.1.3.2
2024/06/01 (21:34:39) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/01 (21:36:50) | ===> btop++ v.1.3.2
2024/06/01 (21:36:50) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/01 (21:43:43) | ===> btop++ v.1.3.2
2024/06/01 (21:43:43) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/01 (21:43:48) | ===> btop++ v.1.3.2
2024/06/01 (21:43:48) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/01 (21:43:53) | ===> btop++ v.1.3.2
2024/06/01 (21:43:53) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/03 (01:45:48) | ===> btop++ v.1.3.2
2024/06/03 (01:45:48) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/03 (01:54:05) | ===> btop++ v.1.3.2
2024/06/03 (01:54:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/08 (18:20:53) | ===> btop++ v.1.3.2
2024/06/08 (18:20:53) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/08 (18:24:01) | ===> btop++ v.1.3.2
2024/06/08 (18:24:01) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/08 (19:39:26) | ===> btop++ v.1.3.2
2024/06/08 (19:39:26) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/08 (19:39:32) | ===> btop++ v.1.3.2
2024/06/08 (19:39:32) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/08 (22:30:47) | ===> btop++ v.1.3.2
2024/06/08 (22:30:47) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/08 (22:50:49) | ===> btop++ v.1.3.2
2024/06/08 (22:50:49) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/09 (01:53:46) | ===> btop++ v.1.3.2
2024/06/09 (01:53:46) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/09 (07:55:12) | ===> btop++ v.1.3.2
2024/06/09 (07:55:12) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/09 (07:59:49) | ===> btop++ v.1.3.2
2024/06/09 (07:59:49) | WARNING: Failed to set locale UTF-8 continuing anyway.
